battery_id,best_epoch,test_soh_mae,test_soh_rmse,test_soh_r2,test_capacity_mae,test_capacity_rmse,test_capacity_r2,verhulst_r,verhulst_R,verhulst_K
B0005,31,0.0024868273267558976,0.00303027258477386,0.9766132044850933,0.004973654653511795,0.00606054516954772,0.9766132044850933,0.014836668968200684,1.5357810525529203e-06,0.24067915976047516
B0006,45,0.015154444703868791,0.017453487112553207,0.7253720681172577,0.030308889407737582,0.03490697422510641,0.7253720681172577,0.014744831249117851,1.5357810525529203e-06,0.2372622787952423
B0007,34,0.0028777473113116097,0.003642772133638091,0.9591486398640008,0.005755494622623219,0.007285544267276182,0.9591486398640008,0.014885017648339272,1.5357810525529203e-06,0.24230192601680756
B0018,40,0.005562742054462433,0.006297208875020158,0.7960252084961104,0.011125484108924865,0.012594417750040316,0.7960252084961104,0.013142451643943787,1.3803897900288575e-06,0.21523483097553253
