battery_id,physics_best_epoch,data_only_mae,physics_best_mae,mae_delta,data_only_rmse,physics_best_rmse,rmse_delta,data_only_r2,physics_best_r2,r2_delta
B0005,31,0.013302852125728832,0.0024868273267558976,-0.010816024798972935,0.013678601043077984,0.00303027258477386,-0.010648328458304124,0.5234695130635088,0.9766132044850933,0.4531436914215845
B0006,45,0.019478919459324257,0.015154444703868791,-0.004324474755455466,0.02376235346645666,0.017453487112553207,-0.006308866353903455,0.4909514665551573,0.7253720681172577,0.23442060156210043
B0007,34,0.0028936173401626886,0.0028777473113116097,-1.5870028851078938e-05,0.0037251241035881994,0.003642772133638091,-8.235196995010855e-05,0.9572807124197216,0.9591486398640008,0.001867927444279216
B0018,40,0.009936051070690155,0.005562742054462433,-0.004373309016227722,0.011513632296230474,0.006297208875020158,-0.005216423421210315,0.31812461795271396,0.7960252084961104,0.4779005905433964
