variant,variant_label,test_soh_mae,test_soh_rmse,test_soh_mape,test_soh_r2,test_capacity_mae,test_capacity_rmse,test_capacity_mape,test_capacity_r2
lu_lt,L_u + L_t,0.005695835595913962,0.006857294943098571,0.8703792780765431,0.8954000101364105,0.011391671191827924,0.013714589886197143,0.8703792780765431,0.8954000101364105
lu_only,L_u,0.006082897501833298,0.007272815810841503,0.9193160040014638,0.882562815855936,0.012165795003666597,0.014545631621683005,0.9193160040014638,0.882562815855936
lu_lf_lt,L_u + L_f + L_t,0.006519153823747355,0.007604869333759854,0.9917087644825586,0.8642734888087462,0.01303830764749471,0.015209738667519708,0.9917087644825586,0.8642734888087462
lu_lf,L_u + L_f,0.006549290436155656,0.007957694999544471,1.0004677292099666,0.866514322773259,0.013098580872311312,0.015915389999088942,1.0004677292099666,0.866514322773259
