epoch,train_loss,train_data_loss,train_structural_loss,train_temporal_loss,train_monotonicity_loss,train_verhulst_r,train_verhulst_R,train_verhulst_K,train_lambda_u,train_lambda_t,train_lambda_f,train_capacity_mae,train_capacity_rmse,train_capacity_mape,train_capacity_r2,train_soh_mae,train_soh_rmse,train_soh_mape,train_soh_r2,test_capacity_mae,test_capacity_rmse,test_capacity_mape,test_capacity_r2,test_soh_mae,test_soh_rmse,test_soh_mape,test_soh_r2
1,0.13894550518497176,0.11436404773722524,0.012226296128178745,0.01677013864252291,0.07790482918853345,0.010054975748062134,1.0060208524009795e-06,0.19933046400547028,1.0037524700164795,1.0037949085235596,1.0037963390350342,0.10220185181368953,0.1212985367041368,6.424154697898439,0.08982484216849562,0.051100925906844764,0.0606492683520684,6.424154697898439,0.08982484216849562,0.2427044093608856,0.2439919984659088,17.50949138597404,-75.5546327223005,0.1213522046804428,0.1219959992329544,17.50949138597404,-75.5546327223005
2,0.00875562972024731,0.013005947977628397,0.004225686238066334,0.0072607897707949514,0.049483564803781716,0.010106245055794716,1.0120754723175196e-06,0.19883447885513306,1.0075899362564087,1.0076020956039429,1.0076038837432861,0.0848569973655369,0.10222519399435205,5.451274719341258,0.35355773828770864,0.04242849868276845,0.051112596997176026,5.451274719341258,0.35355773828770864,0.21930621564388275,0.22036568024934036,15.819169533734618,-61.44651777611027,0.10965310782194138,0.11018284012467018,15.819169533734618,-61.44651777611027
3,-0.009443000120961147,0.011873188185627047,0.0029965809485672608,0.0027807400506192253,0.05061987236790035,0.010156739503145218,1.0181628340433235e-06,0.19847221672534943,1.0114545822143555,1.0114216804504395,1.0114212036132812,0.05417778828869695,0.0634702537559881,3.3879628517670013,0.7507963932880186,0.027088894144348476,0.03173512687799405,3.3879628517670013,0.7507963932880186,0.1180276781320572,0.11882200897303564,8.514746340363578,-17.155745679619045,0.0590138390660286,0.05941100448651782,8.514746340363578,-17.155745679619045
4,-0.0173768341217352,0.010143166407942772,0.004634734699958126,0.006221067405536102,0.044890895566862564,0.010209083557128906,1.0242868029308738e-06,0.19803670048713684,1.0153279304504395,1.015247106552124,1.0152438879013062,0.060559556536052536,0.07369305247523751,3.6008444543867735,0.6640559556273751,0.030279778268026268,0.036846526237618756,3.6008444543867735,0.6640559556273751,0.07583909928798675,0.07693349095831807,5.476914430859116,-6.61116589389311,0.037919549643993376,0.038466745479159035,5.476914430859116,-6.61116589389311
5,-0.030484637488489567,0.008621760198603506,0.004334092990535757,0.006230314059749893,0.043375429413888764,0.01025865226984024,1.030447606353846e-06,0.1977374404668808,1.01920747756958,1.0190794467926025,1.019073724746704,0.0733826678732167,0.09262517627812118,4.271026658671669,0.4692720627242909,0.03669133393660835,0.04631258813906059,4.271026658671669,0.4692720627242909,0.028710910677909852,0.03101620917213184,2.079082338674254,-0.23707987728839064,0.014355455338954926,0.01550810458606592,2.079082338674254,-0.23707987728839064
6,-0.04808440237589504,0.008869995707241089,0.0021877052900178924,0.0019176231935093908,0.03889907256740591,0.010306877084076405,1.0366454716859153e-06,0.1975548267364502,1.0230891704559326,1.0229178667068481,1.0229096412658691,0.05237752976624862,0.06285369458980343,3.209821771224644,0.7556144765887749,0.02618876488312431,0.031426847294901715,3.209821771224644,0.7556144765887749,0.09822245538234711,0.09907969821386124,7.087656928641409,-11.623787027034234,0.049111227691173556,0.04953984910693062,7.087656928641409,-11.623787027034234
7,-0.0629479476939077,0.005522434538959161,0.0018217602046206594,0.0021153183137674046,0.036540781593193176,0.010353755205869675,1.0428806263007573e-06,0.19748277962207794,1.026973843574524,1.026763677597046,1.026752233505249,0.07935351262921872,0.10024207604905805,4.615769878451614,0.3783957727822582,0.03967675631460936,0.050121038024529024,4.615769878451614,0.3783957727822582,0.036509931087493896,0.03854725620709921,2.6448727526809557,-0.9107648771547301,0.018254965543746948,0.019273628103549604,2.6448727526809557,-0.9107648771547301
8,-0.07319462817648183,0.00652628039698238,0.0016999356170265894,0.0022052748979109783,0.03237349183663078,0.010400757193565369,1.0491512512089685e-06,0.19749541580677032,1.0308618545532227,1.0306156873703003,1.0306007862091064,0.06786748119022536,0.08036612226655296,4.367958759469588,0.600460352797315,0.03393374059511268,0.04018306113327648,4.367958759469588,0.600460352797315,0.15459995865821838,0.15503985940212553,11.14592114188461,-29.910571916178572,0.07729997932910919,0.07751992970106276,11.14592114188461,-29.910571916178572
9,-0.08501808248136354,0.007855642931130917,0.0009797167782064366,0.0010028932542216194,0.029920883800672447,0.010446825996041298,1.0554555274211452e-06,0.197615385055542,1.0347496271133423,1.0344743728637695,1.0344558954238892,0.13698815521986588,0.1493969692210013,8.171451244979993,-0.3806939713854247,0.06849407760993294,0.07469848461050065,8.171451244979993,-0.3806939713854247,0.03433692157268524,0.03638769492294686,2.45638907649614,-0.7026657444292967,0.01716846078634262,0.01819384746147343,2.45638907649614,-0.7026657444292967
10,-0.09540547624878261,0.005149403505999109,0.0017038701588044996,0.003752737212419996,0.029694808728021126,0.010494367219507694,1.0617976613502833e-06,0.19774720072746277,1.038641333580017,1.0383365154266357,1.038315773010254,0.06304169608199078,0.07458663795544027,4.058880582313991,0.6558593955147981,0.03152084804099539,0.03729331897772013,4.058880582313991,0.6558593955147981,0.14404455423355103,0.14449703500963595,10.385252691903288,-25.849622271843426,0.07202227711677552,0.07224851750481798,10.385252691903288,-25.849622271843426
