epoch,train_loss,train_data_loss,train_structural_loss,train_temporal_loss,train_monotonicity_loss,train_verhulst_r,train_verhulst_R,train_verhulst_K,train_lambda_u,train_lambda_t,train_lambda_f,train_capacity_mae,train_capacity_rmse,train_capacity_mape,train_capacity_r2,train_soh_mae,train_soh_rmse,train_soh_mape,train_soh_r2,test_capacity_mae,test_capacity_rmse,test_capacity_mape,test_capacity_r2,test_soh_mae,test_soh_rmse,test_soh_mape,test_soh_r2
1,0.10553133022836131,0.10003952073076597,0.006001655506644546,0.005398686045200086,0.06979356464157757,0.010023795999586582,1.008035610539082e-06,0.20052097737789154,1.0050079822540283,1.0050647258758545,1.0050652027130127,0.2002349164750841,0.24360021144499364,12.794329274529122,-2.0270430362292964,0.10011745823754205,0.12180010572249682,12.794329274529122,-2.0270430362292964,0.5128559996100033,0.5145242483331604,38.15871422291095,-167.56174839590363,0.25642799980500164,0.2572621241665802,38.15871422291095,-167.56174839590363
2,0.005632307921719347,0.01574074627401737,0.004367679873624176,0.006463456362864127,0.058361138288791366,0.010085036046802998,1.0161296586375101e-06,0.20065326988697052,1.0101419687271118,1.0101420879364014,1.010144829750061,0.09990265124883407,0.11871706056610443,6.266152029527047,0.28106513813285783,0.04995132562441704,0.05935853028305221,6.266152029527047,0.28106513813285783,0.30241091812358184,0.30600912502843314,22.547741373318196,-58.62331075082877,0.15120545906179092,0.15300456251421657,22.547741373318196,-58.62331075082877
3,-0.01595414499951224,0.010439049926164568,0.0034776694234858593,0.0061653391074396185,0.0431971797066876,0.010155371390283108,1.0242868029308738e-06,0.20079252123832703,1.0153069496154785,1.015234112739563,1.0152385234832764,0.07631702198941484,0.0893482955348872,4.528588467853054,0.5927737006424667,0.03815851099470742,0.0446741477674436,4.528588467853054,0.5927737006424667,0.15034001481299306,0.15301527293456416,11.218921579298218,-13.907914596296877,0.07517000740649653,0.07650763646728208,11.218921579298218,-13.907914596296877
4,-0.037727627107220836,0.008921909167900937,0.002208067805386391,0.002336778490469162,0.04512386558911739,0.010230779647827148,1.0325094308427651e-06,0.20083670318126678,1.0204830169677734,1.0203375816345215,1.0203436613082886,0.06779342940729907,0.07808456114048369,4.213969196362419,0.6889762014282486,0.033896714703649536,0.039042280570241845,4.213969196362419,0.6889762014282486,0.161758025487264,0.1625012243757877,12.039633693390252,-15.813596029504893,0.080879012743632,0.08125061218789385,12.039633693390252,-15.813596029504893
5,-0.049099908170537054,0.008309764325873464,0.0038967051710860063,0.00483157019184196,0.04633095503872276,0.01030929759144783,1.0407981108073727e-06,0.2008177787065506,1.025665044784546,1.025451421737671,1.0254579782485962,0.09623500322684264,0.11660380020393678,5.476691791290248,0.3064325820614082,0.04811750161342132,0.05830190010196839,5.476691791290248,0.3064325820614082,0.026404121342827293,0.029589441775670897,1.9867573840750108,0.44253080026081215,0.013202060671413647,0.014794720887835448,1.9867573840750108,0.44253080026081215
6,-0.06999072120485143,0.007954911169651737,0.0014816252203159726,0.0018287176441711957,0.03860143578460074,0.010388740338385105,1.0491512512089685e-06,0.20079652965068817,1.0308490991592407,1.0305765867233276,1.0305821895599365,0.06946139661674826,0.09189979460343994,3.909941815340422,0.5691834732749125,0.03473069830837413,0.04594989730171997,3.909941815340422,0.5691834732749125,0.03906896535088034,0.0429000488208906,2.9348510577467004,-0.17182539743512315,0.01953448267544017,0.0214500244104453,2.9348510577467004,-0.17182539743512315
7,-0.08573774948843524,0.006743596854786842,0.0017814041766075369,0.001954756471600065,0.03228206588671757,0.010467669926583767,1.057565327755583e-06,0.2009068727493286,1.0360352993011475,1.0357139110565186,1.0357178449630737,0.04401743412017822,0.05655853217292645,2.5494510940121202,0.8368227786312242,0.02200871706008911,0.028279266086463226,2.5494510940121202,0.8368227786312242,0.058372787400787954,0.060889581617160876,4.366109049939549,-1.3606593056021103,0.029186393700393977,0.030444790808580438,4.366109049939549,-1.3606593056021103
8,-0.10419669129654892,0.004744068490596026,0.0011029077087054886,0.0011930824725492814,0.03325196986015026,0.010545254684984684,1.0660469342838041e-06,0.2011653184890747,1.0412302017211914,1.0408618450164795,1.0408637523651123,0.04778672792972662,0.055259931675013675,2.992229726002263,0.844229949453184,0.02389336396486331,0.027629965837506838,2.992229726002263,0.844229949453184,0.09965767813663856,0.10037898043843343,7.4202681911126955,-5.415535226448692,0.04982883906831928,0.05018949021921672,7.4202681911126955,-5.415535226448692
9,-0.11993811438735734,0.004509709047105832,0.0008152202884895472,0.0008712674899416171,0.023815748401177235,0.010621849447488785,1.0745967529146583e-06,0.2016076296567917,1.046432614326477,1.046020746231079,1.0460197925567627,0.060242872971754804,0.06644827600702106,3.750510005376756,0.7747676806581743,0.030121436485877402,0.03322413800351053,3.750510005376756,0.7747676806581743,0.08305254403282614,0.08332451633316348,6.171943950124696,-3.4207192674767883,0.04152627201641307,0.04166225816658174,6.171943950124696,-3.4207192674767883
10,-0.13600158309325194,0.003855053108567611,0.0005662439480691584,0.0005859320243974478,0.028472796082496643,0.010697978548705578,1.0832086445589084e-06,0.20219585299491882,1.0516417026519775,1.0511891841888428,1.0511857271194458,0.06961945692698161,0.0726296734007627,4.174670791784653,0.730913781152528,0.034809728463490806,0.03631483670038135,4.174670791784653,0.730913781152528,0.08751602967580159,0.08776865342023006,6.49583892172766,-3.904855351387524,0.043758014837900795,0.04388432671011503,6.49583892172766,-3.904855351387524
11,-0.14858953005228287,0.0038231126725291596,0.0016153441765942634,0.0016400531231839624,0.028353726252531394,0.010775038041174412,1.091887725124252e-06,0.20279061794281006,1.0568569898605347,1.0563653707504272,1.0563592910766602,0.04497469897963043,0.04932017428228717,2.6996071864456144,0.8759169446387007,0.022487349489815216,0.024660087141143584,2.6996071864456144,0.8759169446387007,0.06814598803426705,0.06847091515417289,5.059763129444397,-1.985104908593207,0.034072994017133526,0.034235457577086445,5.059763129444397,-1.985104908593207
12,-0.16436840097109476,0.0033383714373454326,0.0013098437965297315,0.0014255731883136829,0.025548940795099635,0.010854250751435757,1.1006362683474435e-06,0.20330287516117096,1.0620763301849365,1.0615466833114624,1.0615386962890625,0.02369775120009724,0.034408018791401554,1.3396301542187623,0.9396075557490405,0.01184887560004862,0.017204009395700777,1.3396301542187623,0.9396075557490405,0.00700380054174685,0.00974033902289045,0.5133569719345688,0.9395918577393021,0.003501900270873425,0.004870169511445225,0.5133569719345688,0.9395918577393021
