epoch,train_loss,train_data_loss,train_structural_loss,train_temporal_loss,train_monotonicity_loss,train_verhulst_r,train_verhulst_R,train_verhulst_K,train_lambda_u,train_lambda_t,train_lambda_f,train_capacity_mae,train_capacity_rmse,train_capacity_mape,train_capacity_r2,train_soh_mae,train_soh_rmse,train_soh_mape,train_soh_r2,test_capacity_mae,test_capacity_rmse,test_capacity_mape,test_capacity_r2,test_soh_mae,test_soh_rmse,test_soh_mape,test_soh_r2
1,0.12816955108681452,0.11428485033304794,0.0,0.016808348957135382,0.07806821491407312,0.010053616017103195,1.0060208524009795e-06,0.1993183046579361,1.0037524700164795,1.00379478931427,1.0,0.10354142474091571,0.12352824274090171,6.5411904090349635,0.05605567238099807,0.051770712370457855,0.061764121370450856,6.5411904090349635,0.05605567238099807,0.2529889553785324,0.2542526494552344,18.250488839243932,-82.12875634775814,0.1264944776892662,0.1271263247276172,18.250488839243932,-82.12875634775814
2,0.010828983808017296,0.013213651720434427,0.0,0.008071220074982746,0.05151899466695993,0.010105462744832039,1.0120754723175196e-06,0.19892863929271698,1.0075899362564087,1.0076017379760742,1.0,0.08300125080606212,0.10051152737072276,5.358363759929315,0.3750495294269348,0.04150062540303106,0.05025576368536138,5.358363759929315,0.3750495294269348,0.2165846586227417,0.2178031602381054,15.623548561397737,-60.002644545223205,0.10829232931137085,0.1089015801190527,15.623548561397737,-60.002644545223205
3,-0.0031632837313024893,0.012143244723910871,0.0,0.0027287376578897238,0.050306589383146035,0.010156937874853611,1.0181628340433235e-06,0.19876094162464142,1.011454701423645,1.0114213228225708,1.0,0.05787922247596409,0.06768864761687313,3.7034790706267087,0.7165701880093633,0.028939611237982044,0.03384432380843656,3.7034790706267087,0.7165701880093633,0.13669832944869995,0.13778359565791562,9.860835868962653,-23.412673174388686,0.06834916472434997,0.06889179782895781,9.860835868962653,-23.412673174388686
4,-0.00878111021998136,0.01110574192084048,0.0,0.005679162839837575,0.04414482025996498,0.010210574604570866,1.0242868029308738e-06,0.19854529201984406,1.015326976776123,1.0152474641799927,1.0,0.05584130598151166,0.06795013772203169,3.3485828259611226,0.7143761052443939,0.02792065299075583,0.033975068861015846,3.3485828259611226,0.7143761052443939,0.08435551226139068,0.08575977826588067,6.092104239324465,-8.457745161326155,0.04217775613069534,0.04287988913294034,6.092104239324465,-8.457745161326155
5,-0.016783094600490902,0.009138149978673977,0.0,0.007166265591007212,0.04363901848378389,0.01026279479265213,1.030447606353846e-06,0.19849753379821777,1.019206166267395,1.0190800428390503,1.0,0.0789537611215011,0.09711199631636386,4.615044717512498,0.4166091434682885,0.03947688056075055,0.04855599815818193,4.615044717512498,0.4166091434682885,0.023011189699172974,0.025961588154285103,1.6657261127344725,0.13327201143435563,0.011505594849586487,0.012980794077142551,1.6657261127344725,0.13327201143435563
6,-0.028867295011878014,0.009817013638498991,0.0,0.0020064126533132207,0.04032561474520227,0.010314864106476307,1.0366454716859153e-06,0.19855302572250366,1.0230867862701416,1.0229178667068481,1.0,0.06276218787483547,0.07321656762426394,4.019959938129775,0.6683862077922589,0.03138109393741773,0.03660828381213197,4.019959938129775,0.6683862077922589,0.14095416963100432,0.14157939352719684,10.163869620374108,-24.776289699178143,0.07047708481550216,0.07078969676359842,10.163869620374108,-24.776289699178143
7,-0.039647217516018,0.005977224416868842,0.0,0.0026548351445893313,0.037437942769864334,0.01036636158823967,1.0428806263007573e-06,0.1987326443195343,1.026970624923706,1.0267630815505981,1.0,0.09281784296035767,0.11145294223095588,5.437685015648862,0.23158306085800062,0.04640892148017883,0.05572647111547794,5.437685015648862,0.23158306085800062,0.013849356770515442,0.016449376720119924,1.0050433668001446,0.652048107848775,0.006924678385257721,0.008224688360059962,1.0050433668001446,0.652048107848775
8,-0.04748704737943152,0.006308051838499048,0.0,0.0019945124602046512,0.03239688973711884,0.010418321006000042,1.0491512512089685e-06,0.19900047779083252,1.0308588743209839,1.030615210533142,1.0,0.0748777519101682,0.08803376196025045,4.82933982835851,0.5205841630778372,0.0374388759550841,0.044016880980125225,4.82933982835851,0.5205841630778372,0.15893140137195588,0.1593228899503828,11.456084888067505,-31.64199243182773,0.07946570068597794,0.0796614449751914,11.456084888067505,-31.64199243182773
9,-0.05315629975951236,0.008764528952862905,0.0,0.0012939525844083855,0.03290329096109971,0.01046993862837553,1.0554555274211452e-06,0.19938260316848755,1.0347468852996826,1.0344743728637695,1.0,0.13874888549680295,0.14873458373327783,8.313074891688093,-0.3684778706455136,0.06937444274840147,0.07436729186663892,8.313074891688093,-0.3684778706455136,0.04805122017860412,0.04943750426629906,3.4452681901678677,-2.1429204260526817,0.02402561008930206,0.02471875213314953,3.4452681901678677,-2.1429204260526817
10,-0.06071460149858309,0.005410316622937503,0.0,0.0045460463772305166,0.030334479944861454,0.010523583739995956,1.0617976613502833e-06,0.1997174173593521,1.0386384725570679,1.0383358001708984,1.0,0.05909860393275385,0.0695608873305489,3.8019416573685043,0.7006742489534713,0.029549301966376926,0.03478044366527445,3.8019416573685043,0.7006742489534713,0.13268565833568574,0.1331764780556455,9.56638913262243,-21.807377967712732,0.06634282916784287,0.06658823902782275,9.56638913262243,-21.807377967712732
