epoch,train_loss,train_data_loss,train_structural_loss,train_temporal_loss,train_monotonicity_loss,train_verhulst_r,train_verhulst_R,train_verhulst_K,train_lambda_u,train_lambda_t,train_lambda_f,train_capacity_mae,train_capacity_rmse,train_capacity_mape,train_capacity_r2,train_soh_mae,train_soh_rmse,train_soh_mape,train_soh_r2,test_capacity_mae,test_capacity_rmse,test_capacity_mape,test_capacity_r2,test_soh_mae,test_soh_rmse,test_soh_mape,test_soh_r2
1,0.0959169770567081,0.09311691323756917,0.006722102448036775,0.0,0.07422444237093641,0.01000170037150383,1.008035610539082e-06,0.20067620277404785,1.0050313472747803,1.0,1.005064606666565,0.13683926345955613,0.1754622007356842,8.438661673331803,-1.0197762465214004,0.06841963172977807,0.0877311003678421,8.438661673331803,-1.0197762465214004,0.34804219591851326,0.3485011981931659,23.872355334357977,-92.474052016988,0.17402109795925663,0.17425059909658294,23.872355334357977,-92.474052016988
2,0.004265405189914581,0.013598940558094755,0.004633511264689573,0.0,0.059261991172774225,0.010051723569631577,1.0161296586375101e-06,0.20099180936813354,1.0101685523986816,1.0,1.0101444721221924,0.09930512028881627,0.11778935822812388,5.997054273724925,0.08977611595806834,0.04965256014440814,0.05889467911406194,5.997054273724925,0.08977611595806834,0.2835119845820408,0.28653202630226066,19.49194114324678,-62.18716352122791,0.1417559922910204,0.14326601315113033,19.49194114324678,-62.18716352122791
3,-0.008702639681406511,0.011345475000671597,0.00399232159804505,0.0,0.05006620440727625,0.010113631375133991,1.0242868029308738e-06,0.20129668712615967,1.0153305530548096,1.0,1.0152385234832764,0.08832460489028539,0.10403284128116261,4.984090945909492,0.2899694492559711,0.044162302445142694,0.052016420640581304,4.984090945909492,0.2899694492559711,0.13957004921109067,0.14249966815340087,9.6095783424607,-14.62824547545852,0.06978502460554534,0.07124983407670044,9.6095783424607,-14.62824547545852
4,-0.024807228428176325,0.007479730451232794,0.001893875367821813,0.0,0.04146049432774894,0.010181285440921783,1.0325094308427651e-06,0.20158983767032623,1.0205044746398926,1.0,1.0203447341918945,0.07326324271340655,0.09129929049999225,4.071907014082496,0.45314659429896154,0.036631621356703274,0.045649645249996124,4.071907014082496,0.45314659429896154,0.06734319995431338,0.06813290458802607,4.629594693799454,-2.5726981561721547,0.03367159997715669,0.03406645229401303,4.629594693799454,-2.5726981561721547
5,-0.029253732190172896,0.009706230909746682,0.005131391353767642,0.0,0.0505569516084133,0.010252970270812511,1.0407981108073727e-06,0.2018553614616394,1.0256822109222412,1.0,1.0254590511322021,0.09506920769683316,0.10953399944396315,5.320065355815666,0.21289257916419835,0.04753460384841658,0.054766999721981575,5.320065355815666,0.21289257916419835,0.019860536444420908,0.02057871136907985,1.361465586766676,0.6740741025612129,0.009930268222210454,0.010289355684539925,1.361465586766676,0.6740741025612129
6,-0.04549572406670986,0.00729905433443367,0.0014350682659458735,0.0,0.03632195013710576,0.010327320545911789,1.0491512512089685e-06,0.20212265849113464,1.0308622121810913,1.0,1.0305836200714111,0.0447260711947058,0.0588400741251976,2.4647567602741534,0.7728657964947317,0.0223630355973529,0.0294200370625988,2.4647567602741534,0.7728657964947317,0.01330282875135833,0.015698462982020267,0.920750538657474,0.810330812125766,0.006651414375679165,0.007849231491010134,0.920750538657474,0.810330812125766
7,-0.05795777468090384,0.005049064277838438,0.001268892396711814,0.0,0.026670372893667627,0.010402187705039978,1.057565327755583e-06,0.2024976760149002,1.0360475778579712,1.0,1.0357203483581543,0.04763622976775862,0.053050201143273294,2.7158110027522144,0.8153666346264139,0.02381811488387931,0.026525100571636647,2.7158110027522144,0.8153666346264139,0.05926658826715806,0.06128258938286865,4.081643062423039,-1.8903919088562833,0.02963329413357903,0.030641294691434326,4.081643062423039,-1.8903919088562833
8,-0.067409315934548,0.004768503141294942,0.0020248491944383,0.0,0.03257409553242545,0.010477734729647636,1.0660469342838041e-06,0.20293235778808594,1.0412416458129883,1.0,1.0408661365509033,0.03418565713442289,0.03918559486162899,2.0509655822629154,0.8992630021277159,0.017092828567211445,0.019592797430814494,2.0509655822629154,0.8992630021277159,0.031598558612898286,0.034004222148901496,2.14878514865931,0.11008565451906083,0.015799279306449143,0.017002111074450748,2.14878514865931,0.11008565451906083
9,-0.07674090532410859,0.005915046040701051,0.001429509252429697,0.0,0.03216094288051638,0.010554120875895023,1.0745967529146583e-06,0.2034151256084442,1.0464396476745605,1.0,1.0460216999053955,0.13651173440819112,0.14047293463997212,8.071924850011564,-0.29455774356751063,0.06825586720409556,0.07023646731998606,8.071924850011564,-0.29455774356751063,0.1645533010071399,0.1647133895922321,11.271755820325643,-19.880472749925588,0.08227665050356996,0.08235669479611606,11.271755820325643,-19.880472749925588
10,-0.08867826172683993,0.004657810263367545,0.0007135099207143633,0.0,0.026902480257882014,0.010630720295011997,1.0832086445589084e-06,0.20397847890853882,1.0516433715820312,1.0,1.0511871576309204,0.04078292744791406,0.04597002733873817,2.4482824848180584,0.8613609288451527,0.02039146372395703,0.022985013669369087,2.4482824848180584,0.8613609288451527,0.06299983753877528,0.06338134845544166,4.318151604275953,-2.091757817344298,0.03149991876938764,0.03169067422772083,4.318151604275953,-2.091757817344298
11,-0.09844443552259706,0.003862351322403321,0.0015826402062900427,0.0,0.028270205116679527,0.010708176530897617,1.091887725124252e-06,0.20457467436790466,1.0568549633026123,1.0,1.056361436843872,0.04389761553870307,0.049370690776873595,2.6402128035261327,0.8400904049419559,0.021948807769351535,0.024685345388436798,2.6402128035261327,0.8400904049419559,0.05861541804145364,0.0591448625616403,4.007614715091689,-1.6922573547649935,0.02930770902072682,0.02957243128082015,4.007614715091689,-1.6922573547649935
12,-0.10843793608439274,0.004026917078030797,0.0012478361064946263,0.0,0.029540582854523618,0.010786649771034718,1.1006362683474435e-06,0.20519042015075684,1.0620719194412231,1.0,1.0615421533584595,0.05880208504505646,0.06435726875050203,3.3402272410851754,0.728273918665528,0.02940104252252823,0.032178634375251015,3.3402272410851754,0.728273918665528,0.04468749784955792,0.04541873595910693,3.0693238357319617,-0.5876420927868073,0.02234374892477896,0.022709367979553464,3.0693238357319617,-0.5876420927868073
13,-0.11813731109484649,0.0037220196866103983,0.0016237527729533454,0.0,0.03301012770742433,0.010866138152778149,1.1094515457443777e-06,0.20580260455608368,1.067297101020813,1.0,1.0667316913604736,0.049638443522983126,0.05487206494745277,2.8372410839129247,0.8024674256282587,0.024819221761491563,0.027436032473726384,2.8372410839129247,0.8024674256282587,0.0513609717873966,0.05222270438088997,3.527991628447041,-1.098945850759991,0.0256804858936983,0.026111352190444984,3.527991628447041,-1.098945850759991
14,-0.1275236639711592,0.003808311360856343,0.0018718645467152263,0.0,0.031775160732432306,0.010946955531835556,1.1183321930730017e-06,0.20639492571353912,1.07252836227417,1.0,1.0719281435012817,0.020657041133978427,0.027924385952085344,1.1631341576785887,0.9488431988839662,0.010328520566989213,0.013962192976042672,1.1631341576785887,0.9488431988839662,0.033896107299655094,0.03634271213874259,2.339707042214596,-0.016522946221811274,0.016948053649827547,0.018171356069371297,2.339707042214596,-0.016522946221811274
15,-0.13570682080382976,0.005077510355756833,0.0020195042290854165,0.0,0.030274674169018738,0.011028827168047428,1.1272840083620395e-06,0.2069961279630661,1.077763557434082,1.0,1.0771324634552002,0.042383707486666165,0.04623752739536431,2.434180370599678,0.8597427500741083,0.021191853743333083,0.023118763697682156,2.434180370599678,0.8597427500741083,0.060103566038842295,0.06182599771150885,4.138212676028632,-1.9418788576548915,0.030051783019421147,0.030912998855754426,4.138212676028632,-1.9418788576548915
16,-0.14761780215124798,0.003592569918300097,0.0014205063187577424,0.0,0.02686090423510625,0.011111650615930557,1.1363074463588418e-06,0.20764172077178955,1.0830059051513672,1.0,1.0823454856872559,0.09367672908000457,0.09601034240625507,5.395254420952543,0.39525518554064876,0.046838364540002286,0.048005171203127535,5.395254420952543,0.39525518554064876,0.09068968249302284,0.09126488814234619,6.225876869864093,-5.410471443291604,0.04534484124651142,0.045632444071173096,6.225876869864093,-5.410471443291604
17,-0.15929063505087143,0.0024147794977960805,0.0007275865325190795,0.0,0.01930789725902753,0.011194969527423382,1.1453944352979306e-06,0.2083515077829361,1.0882585048675537,1.0,1.0875688791275024,0.045816310450562045,0.05052452698760782,2.741788553365264,0.8325286085710494,0.022908155225281022,0.02526226349380391,2.741788553365264,0.8325286085710494,0.051801534260020536,0.0528634730182722,3.5362312612338096,-1.1507696632846671,0.025900767130010268,0.0264317365091361,3.5362312612338096,-1.1507696632846671
18,-0.1667870979787957,0.004209114018724197,0.000883912588778135,0.0,0.025560493652637187,0.011278626509010792,1.1545540701263235e-06,0.2091294527053833,1.0935174226760864,1.0,1.092801809310913,0.02427306440141466,0.027380445428261624,1.4498162794450073,0.9508167601081282,0.01213653220070733,0.013690222714130812,1.4498162794450073,0.9508167601081282,0.025219148280573825,0.027050935221878274,1.7170352521193182,0.43682017698899334,0.012609574140286912,0.013525467610939137,1.7170352521193182,0.43682017698899334
19,-0.17666870317397973,0.0036268814065907565,0.0011928630124630295,0.0,0.025084421675429385,0.0113638024777174,1.163786919278209e-06,0.209913432598114,1.0987820625305176,1.0,1.0980421304702759,0.09822349059276092,0.10082325580846925,5.803521451701442,0.33310486179730636,0.04911174529638046,0.050411627904234625,5.803521451701442,0.33310486179730636,0.10741500760994706,0.10787015216256643,7.34837763215275,-7.955402312844919,0.05370750380497353,0.053935076081283215,7.34837763215275,-7.955402312844919
20,-0.18503735628392962,0.005339343176406418,0.000550662500105458,0.0,0.021267875519573178,0.011449191719293594,1.1730891174011049e-06,0.21075569093227386,1.104051113128662,1.0,1.103291392326355,0.08113431013547458,0.08484320592977398,4.8179093442895535,0.5277518587122436,0.04056715506773729,0.04242160296488699,4.8179093442895535,0.5277518587122436,0.09981219441282983,0.10014275441073518,6.832724202055656,-6.718298720920215,0.049906097206414916,0.05007137720536759,6.832724202055656,-6.718298720920215
