epoch,train_loss,train_data_loss,train_structural_loss,train_temporal_loss,train_monotonicity_loss,train_verhulst_r,train_verhulst_R,train_verhulst_K,train_lambda_u,train_lambda_t,train_lambda_f,train_capacity_mae,train_capacity_rmse,train_capacity_mape,train_capacity_r2,train_soh_mae,train_soh_rmse,train_soh_mape,train_soh_r2,test_capacity_mae,test_capacity_rmse,test_capacity_mape,test_capacity_r2,test_soh_mae,test_soh_rmse,test_soh_mape,test_soh_r2
1,0.10433052334552392,0.103206709626282,0.0,0.005037959009777066,0.06502372026443481,0.010063465684652328,1.008035610539082e-06,0.19932109117507935,1.005006194114685,1.0050644874572754,1.0,0.23218278701488787,0.26921787618906556,15.158414513861635,-0.6964759149389381,0.11609139350744394,0.13460893809453278,15.158414513861635,-0.6964759149389381,0.5182447316599827,0.5215694428767144,40.97365586669976,-60.31187177389379,0.2591223658299914,0.2607847214383572,40.97365586669976,-60.31187177389379
2,0.005118362518011505,0.012992930327916248,0.0,0.006062853242866838,0.0509759414399791,0.010121234692633152,1.0161296586375101e-06,0.1992398053407669,1.0101449489593506,1.0101418495178223,1.0,0.08645197468945104,0.0978720664999393,5.516690269126817,0.7757887359914041,0.04322598734472552,0.04893603324996965,5.516690269126817,0.7757887359914041,0.3002508037230548,0.3138065352946799,23.978091485376623,-21.19444367944259,0.1501254018615274,0.15690326764733994,23.978091485376623,-21.19444367944259
3,-0.007900062104703015,0.010244433240742128,0.0,0.005855823556830884,0.036804159737040855,0.01018211618065834,1.0242868029308738e-06,0.19941601157188416,1.0153124332427979,1.0152336359024048,1.0,0.06853761122776912,0.08048782293488596,4.297941210946702,0.848364715037285,0.03426880561388456,0.04024391146744298,4.297941210946702,0.848364715037285,0.24228373228334912,0.25445307769489217,19.363588387869488,-13.592701944880087,0.12114186614167456,0.12722653884744609,19.363588387869488,-13.592701944880087
4,-0.023903853554501493,0.008363172575099092,0.0,0.0018761964278942638,0.04079901255094088,0.01024696882814169,1.0325094308427651e-06,0.199641153216362,1.0204896926879883,1.0203368663787842,1.0,0.07260033615633972,0.07945861613621402,4.607949143149416,0.8522178758312693,0.03630016807816986,0.03972930806810701,4.607949143149416,0.8522178758312693,0.21765992688197716,0.22610891815627465,17.359297645076254,-10.52273780723825,0.10882996344098858,0.11305445907813733,17.359297645076254,-10.52273780723825
5,-0.03238046592754176,0.007037531362615653,0.0,0.004723731932579104,0.041504859924316406,0.010314232669770718,1.0407981108073727e-06,0.19997133314609528,1.0256731510162354,1.0254507064819336,1.0,0.06623368181734003,0.07481787689208731,3.882526371363917,0.8689760552338894,0.033116840908670016,0.037408938446043656,3.882526371363917,0.8689760552338894,0.0630100778504914,0.07752073958143312,5.127158863737045,-0.35442858403638966,0.0315050389252457,0.03876036979071656,5.127158863737045,-0.35442858403638966
6,-0.045314010391887434,0.006902521905990748,0.0,0.0019968849183832835,0.035443623733316734,0.010381429456174374,1.0491512512089685e-06,0.2003924697637558,1.030859112739563,1.0305745601654053,1.0,0.060357382154872276,0.07332670134147001,3.465523529574476,0.874146816023077,0.030178691077436138,0.03666335067073501,3.465523529574476,0.874146816023077,0.06740870662764006,0.0816215329148339,5.480179115046075,-0.5015153956546645,0.03370435331382003,0.04081076645741695,5.480179115046075,-0.5015153956546645
7,-0.05619885228001154,0.005815085493282884,0.0,0.0021954718624190984,0.029205567052221704,0.010451228357851505,1.057565327755583e-06,0.20086675882339478,1.0360467433929443,1.0357105731964111,1.0,0.07420435216691759,0.07999497036881767,4.455384648493381,0.8502160517249354,0.037102176083458796,0.039997485184408835,4.455384648493381,0.8502160517249354,0.04667055840585746,0.054118614677441376,3.7341075473205985,0.3398940644684961,0.02333527920292873,0.027059307338720688,3.7341075473205985,0.3398940644684961
8,-0.06711360863131335,0.005360839231751668,0.0,0.0017077811384924799,0.031656982297571294,0.010522955097258091,1.0660469342838041e-06,0.20140290260314941,1.0412393808364868,1.0408568382263184,1.0,0.05572595555558164,0.06019854160297957,3.5158269472972363,0.9151773472450623,0.02786297777779082,0.030099270801489785,3.5158269472972363,0.9151773472450623,0.1660404649435305,0.17348390485556503,13.257438163861945,-5.783263276836747,0.08302023247176525,0.08674195242778251,13.257438163861945,-5.783263276836747
9,-0.07749027472275954,0.005320311410543628,0.0,0.0012962930118425365,0.021310194180561945,0.010594733990728855,1.0745967529146583e-06,0.20208615064620972,1.0464378595352173,1.0460134744644165,1.0,0.1322808734372131,0.1346834576222245,8.085493369798542,0.5754113066276698,0.06614043671860655,0.06734172881111225,8.085493369798542,0.5754113066276698,0.20371046487022848,0.2082683478599346,16.18848885581738,-8.776127107486293,0.10185523243511424,0.1041341739299673,16.18848885581738,-8.776127107486293
10,-0.08830071813785113,0.005079468759970787,0.0,0.0006436333136298733,0.028696536890461914,0.010666883550584316,1.0832086445589084e-06,0.20288991928100586,1.0516424179077148,1.0511808395385742,1.0,0.022247906424041487,0.03095362539683547,1.3077732633352086,0.97757342487138,0.011123953212020744,0.015476812698417735,1.3077732633352086,0.97757342487138,0.057393613983603084,0.06980319726738327,4.67086561211452,-0.09817341717018535,0.028696806991801542,0.03490159863369163,4.67086561211452,-0.09817341717018535
