epoch,train_loss,train_data_loss,train_capacity_mae,train_capacity_rmse,train_capacity_mape,train_capacity_r2,train_soh_mae,train_soh_rmse,train_soh_mape,train_soh_r2,test_capacity_mae,test_capacity_rmse,test_capacity_mape,test_capacity_r2,test_soh_mae,test_soh_rmse,test_soh_mape,test_soh_r2
1,0.455832634607087,0.455832634607087,0.10381122775699782,0.12455285294499706,6.586124910117143,0.040331557709869625,0.05190561387849891,0.06227642647249853,6.586124910117143,0.040331557709869625,0.25816031694412234,0.2593539446496544,18.62222484510952,-85.49799174817848,0.12908015847206117,0.1296769723248272,18.62222484510952,-85.49799174817848
2,0.05839856633025667,0.05839856633025667,0.07739666752193285,0.09246527516702341,4.999044707278335,0.4711028983324539,0.03869833376096642,0.046232637583511704,4.999044707278335,0.4711028983324539,0.19593121409416198,0.19814427042130908,14.13749038914694,-49.48743955838466,0.09796560704708099,0.09907213521065454,14.13749038914694,-49.48743955838466
3,0.04901846595432447,0.04901846595432447,0.0887094101180201,0.10106009460519333,5.675028469257368,0.3682092615678202,0.04435470505901005,0.050530047302596665,5.675028469257368,0.3682092615678202,0.18266473114490508,0.18460393619607143,13.176131080188918,-42.823011904976326,0.09133236557245254,0.09230196809803572,13.176131080188918,-42.823011904976326
4,0.046386068443889206,0.046386068443889206,0.06174276704373567,0.07168207838435002,3.9213593526341075,0.6821406197894293,0.030871383521867836,0.03584103919217501,3.9213593526341075,0.6821406197894293,0.1516409158706665,0.15326773903009175,10.943260883719642,-29.207988725051766,0.07582045793533325,0.07663386951504587,10.943260883719642,-29.207988725051766
5,0.03705475252607594,0.03705475252607594,0.07431462277536807,0.09278825245688677,4.342359976525902,0.46740161503929734,0.037157311387684036,0.04639412622844338,4.342359976525902,0.46740161503929734,0.03587783575057983,0.040061819373989976,2.59664423130197,-1.06386670965132,0.017938917875289916,0.020030909686994988,2.59664423130197,-1.06386670965132
6,0.04400449310955794,0.04400449310955794,0.10143904971039813,0.11238791608729481,6.4586066939019044,0.21863655166443707,0.050719524855199066,0.05619395804364741,6.4586066939019044,0.21863655166443707,0.18002216517925262,0.18147562430763758,12.978078039146707,-41.3503405637962,0.09001108258962631,0.09073781215381879,12.978078039146707,-41.3503405637962
7,0.028240711468717327,0.028240711468717327,0.062236947857815285,0.07734180682777614,3.6568363535236,0.6299652747184665,0.031118473928907642,0.03867090341388807,3.6568363535236,0.6299652747184665,0.01901710331439972,0.02492407194374329,1.3715314733472297,0.20116276238410324,0.00950855165719986,0.012462035971871645,1.3715314733472297,0.20116276238410324
8,0.023047373103706734,0.023047373103706734,0.11001785034718721,0.11927978533634469,6.975647491981494,0.11986852577275608,0.055008925173593605,0.059639892668172344,6.975647491981494,0.11986852577275608,0.18192419409751892,0.18313999553842128,13.112654878085442,-42.1307199315111,0.09096209704875946,0.09156999776921064,13.112654878085442,-42.1307199315111
9,0.03833680826684703,0.03833680826684703,0.0691936573256617,0.08551762016775115,4.049941414621829,0.5475974257900735,0.03459682866283085,0.042758810083875574,4.049941414621829,0.5475974257900735,0.02417663037776947,0.028331724935043955,1.7481656936700656,-0.03220591215458524,0.012088315188884735,0.014165862467521977,1.7481656936700656,-0.03220591215458524
10,0.025732389124839203,0.025732389124839203,0.05612774905951127,0.06523567157202233,3.585709489202234,0.7367404530948205,0.028063874529755634,0.032617835786011164,3.585709489202234,0.7367404530948205,0.12975110113620758,0.130887914216035,9.35832050822704,-21.03024884700826,0.06487555056810379,0.0654439571080175,9.35832050822704,-21.03024884700826
11,0.023157748839129574,0.023157748839129574,0.04963711551997973,0.056972393773563584,3.1599718868045445,0.7992096721135724,0.024818557759989864,0.028486196886781792,3.1599718868045445,0.7992096721135724,0.1088927835226059,0.11021870129656282,7.854030814493432,-14.621793321337215,0.05444639176130295,0.05510935064828141,7.854030814493432,-14.621793321337215
12,0.027751645721171215,0.027751645721171215,0.10854259522064873,0.1152747604108165,6.548751889862568,0.17798013896231568,0.054271297610324364,0.05763738020540825,6.548751889862568,0.17798013896231568,0.051613959670066836,0.0545037123055083,3.704365699846431,-2.820080157766292,0.025806979835033418,0.02725185615275415,3.704365699846431,-2.820080157766292
13,0.01849149774921977,0.01849149774921977,0.0258074428724206,0.03126555847877059,1.5512988450058054,0.9395291274004187,0.0129037214362103,0.015632779239385296,1.5512988450058054,0.9395291274004187,0.02198672890663147,0.026853313564973672,1.583462623014708,0.0727089350931549,0.010993364453315734,0.013426656782486836,1.583462623014708,0.0727089350931549
14,0.015571208508766216,0.015571208508766216,0.07316838269648344,0.0791080914836958,4.483068843959527,0.6128710332013805,0.03658419134824172,0.0395540457418479,4.483068843959527,0.6128710332013805,0.06182374060153961,0.06485061492872575,4.4459224001642195,-4.40814722591266,0.030911870300769806,0.032425307464362875,4.4459224001642195,-4.40814722591266
